name,class_weight,wins,wins_by_ko_tko,wins_by_submission,wins_by_decision
Melissa Mullins,Featherweight,6.0,3.0,0.0,3.0
Gloria de Paula,Strawweight,6.0,3.0,0.0,3.0
Maia Kahaunaele,Strawweight,6.0,3.0,2.0,1.0
Kailin Curran,Strawweight,6.0,0.0,1.0,5.0
Montserrat Rendon,Bantamweight,6.0,0.0,0.0,6.0
Jamey-Lyn Horth,Flyweight,6.0,3.0,2.0,1.0
Syuri Kondo,Strawweight,6.0,1.0,0.0,5.0
Ramona Pascual,Featherweight,6.0,4.0,1.0,1.0
Marnic Mann,Strawweight,6.0,3.0,1.0,2.0
Jodie Esquibel,Strawweight,6.0,1.0,0.0,5.0
Alexis Dufresne,Lightweight,6.0,3.0,3.0,0.0
Sarah Moras,Bantamweight,6.0,3.0,2.0,1.0
Jacqueline Cavalcanti,Featherweight,6.0,3.0,0.0,3.0
Ashlee Evans-Smith,Bantamweight,6.0,3.0,0.0,3.0
Zarah Fairn,Featherweight,6.0,4.0,0.0,2.0
Istela Nunes,Strawweight,6.0,2.0,0.0,4.0
Chelsea Chandler,Featherweight,6.0,2.0,1.0,3.0
Cristina Stanciu,Strawweight,5.0,1.0,3.0,1.0
Ernesta Kareckaite,Flyweight,5.0,2.0,0.0,3.0
Tina Lahdemaki,Strawweight,5.0,1.0,2.0,2.0
Shauna Bannon,Strawweight,5.0,2.0,0.0,3.0
Talita Alencar,Strawweight,5.0,0.0,3.0,2.0
Irina Alekseeva,Bantamweight,5.0,1.0,2.0,2.0
Chanmi Jeon,Flyweight,5.0,4.0,0.0,1.0
Melinda Fabian,Flyweight,5.0,1.0,4.0,0.0
Lauren Mueller,Bantamweight,5.0,1.0,0.0,4.0
Alex Chambers,Strawweight,5.0,2.0,2.0,1.0
Leah Letson,Featherweight,5.0,3.0,0.0,2.0
Nadia Kassem,Flyweight,5.0,4.0,0.0,1.0
Nicco Montano,Flyweight,4.0,2.0,0.0,2.0
Rachael Ostovich,Flyweight,4.0,0.0,2.0,2.0
Peggy Morgan,Featherweight,4.0,0.0,0.0,4.0
Kelly Faszholz,Bantamweight,4.0,0.0,3.0,1.0
Amanda Bobby Brundage,Flyweight,4.0,2.0,1.0,1.0
Emily Whitmire,Flyweight,4.0,0.0,1.0,3.0
Bea Malecki,Bantamweight,4.0,1.0,2.0,1.0
Jamie Moyle,Flyweight,4.0,0.0,1.0,3.0
Ariel Beck,Flyweight,4.0,2.0,0.0,1.0
Shana Dobson,Flyweight,4.0,2.0,0.0,2.0
Juliana Miller,Flyweight,3.0,1.0,2.0,0.0
Carli Judice,Bantamweight,3.0,3.0,0.0,0.0
Anna Elmose,Bantamweight,3.0,3.0,0.0,0.0
Aleksandra Albu,Strawweight,3.0,1.0,1.0,1.0
Jessamyn Duke,Bantamweight,3.0,1.0,1.0,1.0
Duda Santana,Bantamweight,3.0,1.0,0.0,2.0
Emily Kagan,Strawweight,3.0,0.0,0.0,3.0
Karine Gevorgyan,Bantamweight,3.0,0.0,3.0,0.0
Jessica Rakoczy,Strawweight,1.0,1.0,0.0,0.0
